"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (ARS)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios","Resultados (iniciales)","Indicador de resultados (iniciales)"
2026-05-18,2026-05-25,"DINAMICO (img/video) Electro Heladeras",active,8,actions:offsite_conversion.fb_pixel_purchase,1959.135,3000,Diario,15673.08,6627,3810,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes",Promedio,"Electro Heladera | RMK WEB Electro",,
2026-05-18,2026-05-25,"DINAMICO (carrusel) Kitchen",active,2,actions:offsite_conversion.fb_pixel_purchase,8083.97,3000,Diario,16167.94,6670,3619,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,Promedio,Promedio,"Por debajo del promedio - 35% de los anuncios menos relevantes","Kitchen | RMK WEB Kitchen",,
2026-05-18,2026-05-25,"VIDEO B Electro HOTSALE 2026",not_delivering,4,actions:offsite_conversion.fb_pixel_purchase,1107.38,5000,Diario,4429.52,1228,951,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T19:33:13-0300,-,-,-,"HOTSALE 2026 | RMK Electro",,
2026-05-18,2026-05-25,"VIDEO UltHoras HOTSALE 2026",not_delivering,6,actions:offsite_conversion.fb_pixel_purchase,1666.38333333,10000,Diario,9998.3,2736,1932,2026-05-18,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",0,ABSOLUTE_OCPM,2026-05-14T17:36:43-0300,-,-,-,"HOTSALE 2026 | RMK 3 dias",,
2026-05-18,2026-05-25,"IMG ELECTRODAYS 2026",active,,,,3000,Diario,2258.63,542,392,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-17T23:44:47-0300,-,-,-,"ELECTRODAYS 2026 |  RMK WEB + LKL",,
2026-05-18,2026-05-25,"VIDEO ELECTRODAYS 2026",active,8,actions:offsite_conversion.fb_pixel_purchase,2859.46875,3000,Diario,22875.75,5174,2239,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-17T23:44:47-0300,-,-,-,"ELECTRODAYS 2026 |  RMK WEB + LKL",,
2026-05-18,2026-05-25,"IMG AO Celulares Feb2025",active,1,actions:omni_landing_page_view,36.15,7040,Diario,36.15,62,58,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Celulares)  | Target A+",,
2026-05-18,2026-05-25,"VIDEO AO Audio Feb2025",active,1,actions:omni_landing_page_view,240.28,7000,Diario,240.28,131,128,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-05-18,2026-05-25,"IMG AO Wearables Feb2025",active,1,actions:omni_landing_page_view,34.58,2000,Diario,34.58,30,26,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:57-0300,-,-,-,"AO (Wearables)  | Target A+",,
2026-05-18,2026-05-25,"IMG AO KitchenFeb2025",active,1,actions:omni_landing_page_view,49.49,2000,Diario,49.49,70,68,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:18-0300,-,-,-,"AO (Kitchen) | Target A+",,
2026-05-18,2026-05-25,"IMG AO Audio Feb2025",active,1,actions:omni_landing_page_view,123.02,7000,Diario,123.02,106,101,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-19T12:30:35-0300,-,-,-,"AO (AudioSoundbar)  | Target A+",,
2026-05-18,2026-05-25,"VIDEO TV AO",active,,,,5000,Diario,2453.19,542,420,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,-,-,-,"TV | RMK WEB TV",,
2026-05-18,2026-05-25,"IMG TV AO",active,,,,5000,Diario,2907.73,760,529,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:09-0300,-,-,-,"TV | RMK WEB TV",,
2026-05-18,2026-05-25,"DINAMICO (img/video) Celulares",active,2,actions:offsite_conversion.fb_pixel_purchase,516.415,3000,Diario,1032.83,308,249,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:03-0300,-,-,-,"Celulares | RMK WEB Celulares",,
2026-05-18,2026-05-25,"DINAMICO (img/video) Kitchen",active,,,,3000,Diario,519.65,114,91,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,-,-,-,"Kitchen | RMK WEB Kitchen",,
2026-05-18,2026-05-25,"DINAMICO (carrusel) Electro Heladeras",active,,,,3000,Diario,899.37,322,277,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-20T17:56:00-0300,-,-,-,"Electro Heladera | RMK WEB Electro",,
2026-05-18,2026-05-25,"IMG Lanz A57 + A36  LANZAMIENTO Hasta 29/05",inactive,4,actions:offsite_conversion.fb_pixel_purchase,3690.9825,4216,Diario,14763.93,4842,2246,2026-06-30,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2026-05-22T17:50:17-0300,-,-,-,"Lanz A57 + A36 | RMK Celulares + LKL",,
