# ----------------------------------------
# Adquisición de tráfico: Fuente/medio de la sesión
# Cuenta: Multipoint
# Propiedad: Multipoint 4
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260501
# Fecha de finalización: 20260531
Fuente/medio de la sesión,Sesiones,Sesiones con interacción,Porcentaje de interacciones,Tiempo de interacción medio por sesión,Eventos por sesión,Número de eventos,Eventos clave,Tasa de evento clave de sesión,Total de ingresos
googleads / pauta,100,97,0.97,26.47,24.37,0,0,0,0
statics.teams.cdn.office.net / referral,97,87,0.8969072164948454,122.01030927835052,91.75257731958763,56,0,0.16494845360824742,0
instagram / organic_social,91,86,0.945054945054945,85.41758241758242,32.16483516483517,5,0,0.04395604395604396,0
qr1.me-qr.com / referral,89,85,0.9550561797752809,25.820224719101123,14.247191011235955,3,1,0.02247191011235955,51838.999422
tiktok / pauta,61,61,1,0.6065573770491803,7.475409836065574,0,0,0,0
lm.facebook.com / referral,60,60,1,5.05,10.366666666666667,0,0,0,0
metricool / social,56,54,0.9642857142857143,103.625,37.267857142857146,7,0,0.10714285714285714,0
cace / landing,50,50,1,38.94,20.76,0,0,0,0
chatgpt.com / referral,48,43,0.8958333333333334,71.22916666666667,24.604166666666668,4,0,0.08333333333333333,0
tiktok.com / referral,35,35,1,0.8285714285714286,6.942857142857143,0,0,0,0
l.instagram.com / referral,33,33,1,50.666666666666664,24.757575757575758,3,0,0.06060606060606061,0
l.wl.co / referral,33,33,1,45.27272727272727,28.818181818181817,2,0,0.06060606060606061,0
l.facebook.com / referral,32,31,0.96875,119.5,33.84375,2,0,0.0625,0
rrss-FeaturedOfferings / pauta,31,31,1,0.7419354838709677,14.903225806451612,0,0,0,0
flyer / cupon,30,23,0.7666666666666667,52.13333333333333,29.533333333333335,0,0,0,0
365.clarin.com / referral,28,24,0.8571428571428571,111.07142857142857,79,15,0,0.35714285714285715,0
ar.search.yahoo.com / referral,25,24,0.96,118.2,35.64,2,0,0.08,0
metricool / links utiles,24,24,1,63.25,30.541666666666668,0,0,0,0
claude.ai / referral,23,21,0.9130434782608695,37.869565217391305,33.34782608695652,0,0,0,0
promoshub.modo.com.ar / referral,21,21,1,27.476190476190474,25.047619047619047,0,0,0,0
semananacion.com.ar / referral,19,18,0.9473684210526315,36.63157894736842,28.736842105263158,0,0,0,0
aqara.com / referral,18,17,0.9444444444444444,23.666666666666668,16.77777777777778,0,0,0,0
fb / paid,17,17,1,117,27.470588235294116,1,0,0.058823529411764705,0
gemini.google.com / referral,15,15,1,123.4,28.8,1,0,0.06666666666666667,0
grupomulti.com.ar / referral,15,13,0.8666666666666667,103.8,29,1,0,0.06666666666666667,0
beneficios.galicia.ar / referral,13,11,0.8461538461538461,8.615384615384615,15.923076923076923,0,0,0,0
metaads / referral,13,13,1,39.76923076923077,29.307692307692307,1,0,0.07692307692307693,0
soporte.multiradio.com.ar / referral,12,10,0.8333333333333334,55.916666666666664,23.666666666666668,2,0,0.08333333333333333,0
eventsmanager.facebook.com / referral,11,7,0.6363636363636364,7.7272727272727275,15.545454545454545,0,0,0,0
l.facebook.com / paid,11,11,1,73.45454545454545,19,1,0,0.09090909090909091,0
rrss-perfil-IG / organico,10,10,1,63.1,33.2,0,0,0,0
search.google.com / referral,10,9,0.9,12.5,23.7,0,0,0,0
adsmanager.facebook.com / referral,8,7,0.875,16,20,0,0,0,0
app.clickup.com / referral,8,6,0.75,31.5,22.375,0,0,0,0
instagram.com / referral,8,8,1,5.25,10.5,0,0,0,0
rrss / referral,8,8,1,63.5,35.125,1,0,0.125,0
storage.googleapis.com / referral,8,8,1,0,6,0,0,0,0
vivo / organic_social,8,8,1,0.625,7.125,0,0,0,0
duckduckgo / organic,7,7,1,78.57142857142857,46.714285714285715,2,0,0.2857142857142857,0
wcentrix.net / referral,7,4,0.5714285714285714,37.57142857142857,42.857142857142854,0,0,0,0
youtube.com / referral,7,7,1,0.14285714285714285,7.142857142857143,0,0,0,0
refferal / smegusta,6,6,1,165.16666666666666,30,0,0,0,0
